"Date","address","latitude","longitude","Count"
1869,"corner of Catherine and Ingalls",42.28312,-83.738537,1
1877,"Huron St.",42.281494,-83.741151,1
1878,"18 Ingalls St.",42.281328,-83.738445,1
1878,"25 E. University Ave.",42.270241,-83.7357064,1
1878,"4 N. State St.",42.281231,-83.740905,1
1879,"18 Ingalls St.",42.281328,-83.738445,1
1879,"4 N. State St.",42.281231,-83.740905,1
1892,"Washtenaw and corner of Hill",42.27265,-83.726412,1
1893,"5312 N. Main St.",42.2796,-83.7487,1
1898,"421 E. University Ave.",42.27479523,-83.73565373,1
1900,"217 N. First St.",42.283072,-83.751153,1
1900,"332 S. Fifth Ave.",42.27893712,-83.74624018,1
1900,"525 Benjamin St.",42.271174,-83.74202165,3
1900,"945 Maiden Lane",42.28938771,-83.73715087,1
1901,"212 S. 14th St.",42.282876,-83.733851,2
1901,"217 N. First St.",42.283072,-83.751153,1
1901,"236 S. 12th St.",42.27919,-83.737522,1
1901,"323 Packard St.",42.275357,-83.74535265,1
1901,"402 Observatory St.",42.278276,-83.731135,2
1901,"525 Benjamin St.",42.271174,-83.74202165,2
1901,"724 Miller Ave.",42.285256,-83.756255,1
1901,"733 S. State St.",42.22908,-83.73886,1
1901,"810 Fuller St.",42.2862426,-83.73968051,1
1901,"945 Maiden Lane",42.28938771,-83.73715087,1
1901,"AME Church",42.296319,-83.734809,1
1902,"1025 Wall St.",42.288186,-83.735437,1
1902,"214 S. Ingalls St.",42.282704,-83.738338,1
1902,"217 N. First St.",42.283072,-83.751153,2
1902,"445 E. University Ave.",42.272628,-83.735741,1
1902,"525 Benjamin St.",42.271174,-83.74202165,1
1902,"548 S. State St.",42.27462805,-83.74121931,1
1902,"613 S. Thayer St.",42.278875,-83.739582,1
1902,"713 E. Huron St.",42.28129271,-83.74019713,1
1902,"724 Miller Ave.",42.285256,-83.756255,2
1902,"925 N. University Ave.",42.278766,-83.736154,1
1903,"1017 N. University Ave.",42.278711,-83.73661077,1
1903,"108 Miller Ave.",42.283296,-83.749612,1
1903,"217 N. First St.",42.283072,-83.751153,1
1903,"236 12th St.",42.278963,-83.73726,1
1903,"301 S. 14th St.",42.281915,-83.734505,1
1903,"426 Ingalls St.",42.285082,-83.738559,1
1903,"426 N. Ingalls St.",42.28493,-83.738108,1
1903,"548 S. State St.",42.27462805,-83.74121931,1
1903,"620 S. Forest Ave.",42.27471776,-83.73318529,1
1903,"733 S. State St.",42.22908,-83.73886,1
1903,"919 E. University Ave.",42.26971861,-83.73555878,1
1903,"919 N. University Ave.",42.278711,-83.73673746,3
1903,"925 N. University Ave.",42.278766,-83.736154,1
1903,"945 Maiden Lane",42.28938771,-83.73715087,1
1904,"108 Miller Ave.",42.283296,-83.749612,1
1904,"1331 Geddes Ave.",42.27755344,-83.73196022,1
1904,"144 Hill St.",42.271486,-83.747773,3
1904,"301 S. 14th St.",42.281915,-83.734505,1
1904,"512 S. State St.",42.220964,-83.734922,1
1904,"533 E. Washington St.",42.28038956,-83.74209507,1
1904,"604 S. State St.",42.27390515,-83.74104155,1
1904,"919 N. University Ave.",42.278711,-83.73673746,2
1904,"corner of Hill and Washtenaw",42.272684,-83.728107,1
1904,"Washtenaw and corner of Hill",42.27265,-83.726412,1
1905,"1102 Lincoln Ave.",42.268637,-83.729832,1
1905,"1317 Washtenaw Ave.",42.257608,-83.6999189,3
1905,"144 Hill St.",42.271486,-83.747773,2
1905,"220 S. Thayer St.",42.28004058,-83.73969195,1
1905,"912 Mary St.",42.270576,-83.742195,1
1905,"Washtenaw and corner of Hill",42.27265,-83.726412,1
1906,"1017 Catherine St.",42.283557,-83.735679,1
1906,"126 N. Division St.",42.282142,-83.743246,1
1906,"144 Hill St.",42.271486,-83.747773,4
1906,"200 N. State St.",42.28229,-83.740654,1
1906,"210 Glen Ave.",42.28265,-83.735386,1
1906,"212 S. 14th St.",42.282876,-83.733851,1
1906,"622 S. Ashley St.",42.273284,-83.750387,1
1906,"912 Mary St.",42.270576,-83.742195,1
1906,"Washtenaw and corner of Hill",42.27265,-83.726412,2
1907,"1015 E. Huron St.",42.2816035,-83.73640335,1
1907,"1017 Catherine St.",42.283557,-83.735679,7
1907,"1324 Volland St.",42.277736,-83.732406,1
1907,"144 Hill St.",42.271486,-83.747773,2
1907,"301 S. 14th St.",42.281915,-83.734505,1
1907,"512 S. State St.",42.220964,-83.734922,1
1907,"622 S. Ashley St.",42.273284,-83.750387,1
1907,"905 Oakland Ave.",42.2710688,-83.73835053,1
1907,"912 Mary St.",42.270576,-83.742195,1
1907,"914 Fuller St.",42.285681,-83.738018,1
1907,"916 S. Fourth Ave.",42.2794689,-83.747357,1
1907,"UofM Hospital",42.284713,-83.729323,1
1908,"1007 E. Huron St.",42.2816443,-83.73677168,1
1908,"1017 Catherine St.",42.283557,-83.735679,9
1908,"1324 Volland St.",42.277736,-83.732406,3
1908,"1408 Washtenaw Ave.",42.2745548,-83.73160913,1
1908,"144 Hill St.",42.271486,-83.747773,2
1908,"512 S. State St.",42.220964,-83.734922,1
1908,"608 Fuller St.",42.286627,-83.740539,1
1908,"915 Oakland Ave.",42.270834,-83.738126,1
1908,"916 S. Fourth Ave.",42.2794689,-83.747357,1
1908,"UofM Hospital",42.284713,-83.729323,1
1909,"1017 Catherine St.",42.283557,-83.735679,10
1909,"1102 Lincoln Ave.",42.268637,-83.729832,1
1909,"1324 Volland St.",42.277736,-83.732406,1
1909,"144 Hill St.",42.271486,-83.747773,2
1909,"212 Glen Ave.",42.282547,-83.735401,1
1909,"212 S. 14th St.",42.282876,-83.733851,1
1909,"301 N. State St.",42.283139,-83.741057,1
1909,"301 S. 14th St.",42.281915,-83.734505,1
1909,"517 Catherine St.",42.28309297,-83.74268509,2
1909,"548 S. State St.",42.27462805,-83.74121931,1
1909,"608 Fuller St.",42.286627,-83.740539,2
1909,"710 E. Ann St.",42.28194445,-83.74042965,1
1909,"902 E. Huron St.",42.28135426,-83.73821583,1
1909,"914 Fuller St.",42.285681,-83.738018,3
1909,"915 Oakland Ave.",42.270834,-83.738126,1
1910,"1009 Catherine St.",42.283559,-83.736388,4
1910,"1017 Catherine St.",42.283557,-83.735679,6
1910,"108 Miller Ave.",42.283296,-83.749612,1
1910,"144 Hill St.",42.271486,-83.747773,1
1910,"212 S. 14th St.",42.282876,-83.733851,1
1910,"301 S. 14th St.",42.281915,-83.734505,1
1910,"608 Fuller St.",42.286627,-83.740539,1
1911,"1007 E. Huron St.",42.2816443,-83.73677168,1
1911,"1009 Catherine St.",42.283559,-83.736388,3
1911,"1017 Catherine St.",42.283557,-83.735679,12
1911,"114 N. Ingalls St.",42.281814,-83.738107,1
1911,"1324 Volland St.",42.277736,-83.732406,1
1911,"1335 S. State St.",42.18855,-83.738856,1
1911,"1338 Washtenaw Ave.",42.27537,-83.732149,1
1911,"144 Hill St.",42.271486,-83.747773,1
1911,"219 S. Ingalls St.",42.282838,-83.738756,3
1911,"322 Maynard St.",42.278667,-83.742382,1
1911,"512 S. State St.",42.220964,-83.734922,1
1911,"608 Fuller St.",42.286627,-83.740539,2
1911,"618 Fuller St.",42.2860131,-83.7337214,1
1911,"915 Oakland Ave.",42.270834,-83.738126,1
1912,"1009 Catherine St.",42.283559,-83.736388,2
1912,"1017 Catherine St.",42.283557,-83.735679,4
1912,"1324 Volland St.",42.277736,-83.732406,1
1912,"1325 Washtenaw Ave.",42.276367,-83.731939,1
1912,"1340 Volland St.",42.278673,-83.73144,1
1912,"1408 Washtenaw Ave.",42.2745548,-83.73160913,1
1912,"1412 Geddes Ave.",42.27687163,-83.72989094,1
1912,"144 Hill St.",42.271486,-83.747773,2
1912,"219 S. Ingalls St.",42.282838,-83.738756,1
1912,"324 Maynard St.",42.27903263,-83.74211977,1
1912,"426 N. Ingalls St.",42.28493,-83.738108,1
1912,"512 S. State St.",42.220964,-83.734922,1
1912,"618 Fuller St.",42.2860131,-83.7337214,1
1912,"800 Fuller St.",42.28626156,-83.73975726,1
1912,"915 Oakland Ave.",42.270834,-83.738126,1
1912,"917 E. Huron St.",42.2815212,-83.73766185,1
1913,"1009 Catherine St.",42.283559,-83.736388,3
1913,"1017 Catherine St.",42.283557,-83.735679,1
1913,"1322 Volland St.",42.278548,-83.736494,1
1913,"1324 Volland St.",42.277736,-83.732406,1
1913,"1335 S. State St.",42.18855,-83.738856,1
1913,"1340 Volland St.",42.278673,-83.73144,3
1913,"144 Hill St.",42.271486,-83.747773,3
1913,"206 14th St.",42.282876,-83.733851,1
1913,"219 S. Ingalls St.",42.282838,-83.738756,1
1913,"426 N. Ingalls St.",42.28493,-83.738108,1
1913,"512 S. State St.",42.220964,-83.734922,1
1913,"608 Fuller St.",42.286627,-83.740539,1
1913,"822 Fuller St.",42.286474,-83.740173,1
1913,"915 Oakland Ave.",42.270834,-83.738126,1
1914,"1009 Catherine St.",42.283559,-83.736388,1
1914,"1104 Lincoln Ave.",42.268618,-83.729875,1
1914,"1335 S. State St.",42.18855,-83.738856,1
1914,"1340 Volland St.",42.278673,-83.73144,8
1914,"136 Phillip St.",4,0,1
1914,"144 Hill St.",42.271486,-83.747773,6
1914,"206 14th St.",42.282876,-83.733851,1
1914,"219 S. Ingalls St.",42.282838,-83.738756,1
1914,"301 S. 14th St.",42.281915,-83.734505,2
1914,"318 E. Jefferson St.",42.275849,-83.745397,1
1914,"512 S. State St.",42.220964,-83.734922,1
1914,"608 Fuller St.",42.286627,-83.740539,1
1914,"713 E. Kingsley St.",42.285126,-83.740387,2
1914,"718 N. Fourth Ave.",42.28749,-83.745938,1
1914,"915 Oakland Ave.",42.270834,-83.738126,1
1914,"UofM Hospital",42.284713,-83.729323,1
1915,"1009 Catherine St.",42.283559,-83.736388,5
1915,"1017 Catherine St.",42.283557,-83.735679,2
1915,"1104 Lincoln Ave.",42.268618,-83.729875,1
1915,"1340 Volland St.",42.278673,-83.73144,1
1915,"136 Phillip St.",4,0,1
1915,"144 Hill St.",42.271486,-83.747773,1
1915,"146 Phillip St.",42.269485,-83.747707,1
1915,"212 S. 14th St.",42.282876,-83.733851,1
1915,"301 S. 14th St.",42.281915,-83.734505,2
1915,"445 E. University Ave.",42.272628,-83.735741,1
1915,"608 Fuller St.",42.286627,-83.740539,7
1915,"713 E. Kingsley St.",42.285126,-83.740387,2
1915,"915 Oakland Ave.",42.270834,-83.738126,1
1916,"1009 Catherine St.",42.283559,-83.736388,3
1916,"1017 Catherine St.",42.283557,-83.735679,3
1916,"144 Hill St.",42.271486,-83.747773,3
1916,"146 Phillip St.",42.269485,-83.747707,2
1916,"1513 S. University Ave.",42.27516757,-83.72967202,1
1916,"212 S. 14th St.",42.282876,-83.733851,3
1916,"301 S. 14th St.",42.281915,-83.734505,1
1916,"427 E. University Ave.",42.2747755,-83.73565365,1
